email,domain,phase,source_url,reason
6bd0bfcf@mxtoolbox.dmarc-report.com,sproutsocial.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
6d28a8ba@forensics.dmarc-report.com,flodesk.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
6d28a8ba@mxtoolbox.dmarc-report.com,flodesk.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
77842ae6b1@rua.easydmarc.us,stackadapt.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
77842ae6b1@ruf.easydmarc.us,stackadapt.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
79f0f1c37a@rua.easydmarc.eu,bigdata.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
79f0f1c37a@ruf.easydmarc.eu,bigdata.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
7d378fe3624e.a@dmarcinput.com,gleap.io,tier1-2-dns:dmarc_rua,,host-not-same-domain
7d378fe3624e.f@dmarcinput.com,gleap.io,tier1-2-dns:dmarc_ruf,,host-not-same-domain
7f2fed35-675b-4b29-9d0b-4eea4cf5a97d@rep.usb.mimecastdmarcanalyzer.com,mediafly.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
7f621d106d@rua.easydmarc.us,whop.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
7f621d106d@ruf.easydmarc.us,whop.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
80f63025@forensics.dmarc-report.com,flowcode.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
80f63025@mxtoolbox.dmarc-report.com,flowcode.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
87b0b2df23@rua.easydmarc.asia,chargebee.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
87b0b2df23@ruf.easydmarc.asia,chargebee.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
882df5@dmarcmntr.com,mailmonitor.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
8dba3e9ad02a.a@dmarcinput.com,navan.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
8dba3e9ad02a.f@dmarcinput.com,navan.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
8dzmg8yz88@reports.palisade.email,knapsack.cloud,tier1-2-dns:dmarc_rua,,host-not-same-domain
8fc4b1fb@forensics.dmarc-report.com,nvoip.com.br,tier1-2-dns:dmarc_ruf,,host-not-same-domain
8fc4b1fb@mxtoolbox.dmarc-report.com,nvoip.com.br,tier1-2-dns:dmarc_rua,,host-not-same-domain
8rbmv-1@rua.dmarc.emailanalyst.com,zillow.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
8rbmv-1@ruf.dmarc.emailanalyst.com,zillow.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
90005677@forensics.dmarc-report.com,quid.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
90005677@mxtoolbox.dmarc-report.com,quid.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
95ff1ea6@forensics.dmarc-report.com,optimizedpayments.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
95ff1ea6@mxtoolbox.dmarc-report.com,optimizedpayments.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
96d120ba11@rua.easydmarc.asia,coinstats.app,tier1-2-dns:dmarc_rua,,host-not-same-domain
96d120ba11@ruf.easydmarc.asia,coinstats.app,tier1-2-dns:dmarc_ruf,,host-not-same-domain
994d43e550@rua.easydmarc.us,fundify.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
994d43e550@ruf.easydmarc.us,fundify.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
9f32038cc8@rua.easydmarc.asia,noma.security,tier1-2-dns:dmarc_rua,,host-not-same-domain
9f32038cc8@ruf.easydmarc.asia,noma.security,tier1-2-dns:dmarc_ruf,,host-not-same-domain
a+95828844@fdmarc.net,techstars.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
a.ftkus35w@sdmarc.net,pearldiver.io,tier1-2-dns:dmarc_rua,,host-not-same-domain
a.w3y7vhv9@sdmarc.net,myn.co.uk,tier1-2-dns:dmarc_rua,,host-not-same-domain
a8a29a9e43@rua.easydmarc.eu,raisely.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
a8a29a9e43@ruf.easydmarc.eu,raisely.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
a9284caf@forensics.dmarc-report.com,wodify.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
a9284caf@mxtoolbox.dmarc-report.com,wodify.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
aab75eebc5@rua.easydmarc.asia,firebird.ai,tier1-2-dns:dmarc_rua,,host-not-same-domain
aab75eebc5@ruf.easydmarc.asia,firebird.ai,tier1-2-dns:dmarc_ruf,,host-not-same-domain
ab7c0c449f@rua.easydmarc.us,matador.ai,tier1-2-dns:dmarc_rua,,host-not-same-domain
ab7c0c449f@ruf.easydmarc.us,matador.ai,tier1-2-dns:dmarc_ruf,,host-not-same-domain
abhilashcho91@gmail.com,crustdata.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
abhilashcho91@gmail.com,crustdata.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
abhinav.saxena@springworks.in,springverify.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
abhinav.saxena@springworks.in,springverify.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
abuse@avo.sh,avo.app,tier1-2-dns:dmarc_ruf,,host-not-same-domain
abuse@landingsite.ai,stormrecruit.com,security.txt,https://stormrecruit.com/.well-known/security.txt,host-not-same-domain
accounts+dmarc-agg@oort.io,oort.io,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
accounts+dmarc-forensic@oort.io,oort.io,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
accounts@maestrowealth.ai,maestrobrasil.ai,tier1-2-dns:dmarc_rua,,host-not-same-domain
accounts@maestrowealth.ai,maestrobrasil.ai,tier1-2-dns:dmarc_ruf,,host-not-same-domain
admin@dnsimple.com,attributionapp.com,tier1-2-dns:soa_rname,,host-not-same-domain
admin@dnsimple.com,embankment.com,tier1-2-dns:soa_rname,,host-not-same-domain
admin@dnsimple.com,investnext.com,tier1-2-dns:soa_rname,,host-not-same-domain
admin@dnsimple.com,mechanism.com,tier1-2-dns:soa_rname,,host-not-same-domain
admin@dnsimple.com,quid.com,tier1-2-dns:soa_rname,,host-not-same-domain
admin@dnsimple.com,roboflow.com,tier1-2-dns:soa_rname,,host-not-same-domain
admin@dnsimple.com,storeganise.com,tier1-2-dns:soa_rname,,host-not-same-domain
admin@dnsimple.com,wholesome.co,tier1-2-dns:soa_rname,,host-not-same-domain
admin@forpsi.com,8m.eu,tier1-2-dns:soa_rname,,host-not-same-domain
admin@forpsi.com,freshpoint.cz,tier1-2-dns:soa_rname,,host-not-same-domain
admin@sourcedns.com,thetappingsolution.com,tier1-2-dns:soa_rname,,host-not-same-domain
admin@websupport.sk,amityage.com,tier1-2-dns:soa_rname,,host-not-same-domain
admin@websupport.sk,doktormartin.sk,tier1-2-dns:soa_rname,,host-not-same-domain
admin@websupport.sk,teapot.sk,tier1-2-dns:soa_rname,,host-not-same-domain
admins@siteground.com,alamah.om,tier1-2-dns:soa_rname,,host-not-same-domain
admins@siteground.com,fomo.ai,tier1-2-dns:soa_rname,,host-not-same-domain
admins@siteground.com,growthkitchen.co,tier1-2-dns:soa_rname,,host-not-same-domain
aggr-dmarc@kubit.ai,kubit.ai,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
alerts1560000078@dmarcedge.com,inboxally.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
avinash.ramesha@springworks.in,springverify.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
avinash.ramesha@springworks.in,springverify.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
b4d620b182@rua.easydmarc.us,quicknode.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
b4d620b182@ruf.easydmarc.us,quicknode.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
b6bbeaae7f@rua.easydmarc.us,foresight.ai,tier1-2-dns:dmarc_rua,,host-not-same-domain
b6bbeaae7f@ruf.easydmarc.us,foresight.ai,tier1-2-dns:dmarc_ruf,,host-not-same-domain
beautechpowersystems@us.cp-dmarc.com,beautech.aero,tier1-2-dns:dmarc_rua,,host-not-same-domain
beautechpowersystems@us.cp-dmarc.com,beautech.aero,tier1-2-dns:dmarc_ruf,,host-not-same-domain
bufbuccgzo@rua.threatcop.ae,gcaa.gov.ae,tier1-2-dns:dmarc_rua,,host-not-same-domain
bufbuccgzo@ruf.threatcop.ae,gcaa.gov.ae,tier1-2-dns:dmarc_ruf,,host-not-same-domain
c19abe33@forensics.dmarc-report.com,kiosked.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
c19abe33@mxtoolbox.dmarc-report.com,kiosked.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
c30bf15200@rua.easydmarc.asia,sayhellocollege.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
c30bf15200@ruf.easydmarc.asia,sayhellocollege.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
c51c2b9f31@rua.easydmarc.us,raylu.ai,tier1-2-dns:dmarc_rua,,host-not-same-domain
c51c2b9f31@ruf.easydmarc.us,raylu.ai,tier1-2-dns:dmarc_ruf,,host-not-same-domain
c7d60f42@dmarc.mailgun.org,prima.ai,tier1-2-dns:dmarc_rua,,host-not-same-domain
c7d60f42@dmarc.mailgun.org,prima.ai,tier1-2-dns:dmarc_ruf,,host-not-same-domain
c8890f40@dmarc.mailgun.org,mellow.io,tier1-2-dns:dmarc_rua,,host-not-same-domain
c8890f40@dmarc.mailgun.org,mellow.io,tier1-2-dns:dmarc_ruf,,host-not-same-domain
c9p3l8l1n3t5m3f1@apphub-team.slack.com,logrocket.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
ca3ca2e9@forensics.dmarc-report.com,uniqode.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
ca3ca2e9@mxtoolbox.dmarc-report.com,uniqode.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
capture.dmarc@msci.com,msci.com,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
compliance+dmarc@salesloft.com,salesloft.com,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
contact@virgo.global,varolio.io,tier1-2-dns:dmarc_rua,,host-not-same-domain
contact@virgo.global,varolio.io,tier1-2-dns:dmarc_ruf,,host-not-same-domain
corpdmarc@tradeshift.com,tradeshift.com,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
csf@ofis.net,iggnita.com,tier1-2-dns:soa_rname,,host-not-same-domain
d33a544ad9@rua.easydmarc.eu,kertos.io,tier1-2-dns:dmarc_rua,,host-not-same-domain
d33a544ad9@ruf.easydmarc.eu,kertos.io,tier1-2-dns:dmarc_ruf,,host-not-same-domain
d3df0f77@dmarc.mailgun.org,llexeter.co.uk,tier1-2-dns:dmarc_rua,,host-not-same-domain
d3df0f77@dmarc.mailgun.org,llexeter.co.uk,tier1-2-dns:dmarc_ruf,,host-not-same-domain
d5270f8a@dmarc.mailgun.org,handy.la,tier1-2-dns:dmarc_rua,,host-not-same-domain
d5270f8a@dmarc.mailgun.org,handy.la,tier1-2-dns:dmarc_ruf,,host-not-same-domain
dad60fa3@dmarc.mailgun.org,relevanceai.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
dad60fa3@dmarc.mailgun.org,relevanceai.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
ddbc410410@rua.easydmarc.us,orilearning.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
ddbc410410@ruf.easydmarc.us,orilearning.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
dec90fa5@dmarc.mailgun.org,doit.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
dec90fa5@dmarc.mailgun.org,doit.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
deepakiitorai@gmail.com,pinegap.ai,tier1-2-dns:dmarc_rua,,host-not-same-domain
deepakiitorai@gmail.com,pinegap.ai,tier1-2-dns:dmarc_ruf,,host-not-same-domain
dev+dmarc@tldv.io,tldv.io,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
dev-security@whattime.co.kr,roundhr.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
devops+dmarc@crossbeam.com,crossbeam.com,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
devops+dmarc@crossbeam.com,crossbeam.com,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
devops+dmarc@descope.com,descope.com,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
devops+dmarc@descope.com,descope.com,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
devops@esputnik.com,reteno.com,tier1-2-dns:caa_iodef,,host-not-same-domain
devops@lifesight.io,factori.ai,tier1-2-dns:dmarc_rua,,host-not-same-domain
devops@lifesight.io,factori.ai,tier1-2-dns:dmarc_ruf,,host-not-same-domain
dm@5centscdn.com,5centscdn.net,tier1-2-dns:dmarc_rua,,host-not-same-domain
dm@5centscdn.com,5centscdn.net,tier1-2-dns:dmarc_ruf,,host-not-same-domain
dmarc+amalgamrx.com@inbound.axl.net,amalgamrx.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
dmarc+c261858c-3b6c-4cc6-8b88-4515ac74f889@dmarc.bastion.tech,upsolve.ai,tier1-2-dns:dmarc_rua,,host-not-same-domain
dmarc+rua@klaviyo.com,klaviyo.com,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
dmarc+ruf@klaviyo.com,klaviyo.com,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-aaaac5hkvynyk4uvzc2c7kr7ei@agendium.slack.com,cyberday.ai,tier1-2-dns:dmarc_rua,,host-not-same-domain
dmarc-administrateur@jobphoning.com,jobphoning.com,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
dmarc-afrf@bdex.com,bdex.com,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-afrf@hubbl.com,hubbl.com,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-agg@hubbl.com,hubbl.com,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
dmarc-aggregate@bdex.com,bdex.com,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
dmarc-aggregate@quivly.ai,quivly.ai,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
dmarc-aggregation@idealo.com,idealo.com,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
dmarc-alert@brandsmeetcreators.com,brandsmeetcreators.com,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
dmarc-alerts@wordlift.io,wordlift.io,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
dmarc-alerts@wordlift.io,wordlift.io,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-email-report@whistic.com,whistic.com,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
dmarc-failure@quivly.ai,quivly.ai,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-failures@base39.com.br,base39.com.br,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-failures@bitmovin.com,bitmovin.com,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-failures@cleo.com,cleo.com,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-failures@coris.ai,coris.ai,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-failures@e-gineering.com,e-gineering.com,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-failures@voiser.ai,voiser.ai,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-feedback@altuspower.com,altuspower.com,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
dmarc-forense@lulifama.com,lulifama.com,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-forensic@idealo.com,idealo.com,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-forensic@timetackle.com,timetackle.com,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-forensics@askable.com,askable.com,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-forensics@callpercy.com,callpercy.com,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-forensics@caspio.com,caspio.com,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-forensics@grasp.gg,grasp.gg,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-forensics@reshapeautomation.com,reshapex.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
dmarc-info@aneon.at,aneon.at,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
dmarc-notifications@frame.io,frame.io,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
dmarc-notifications@frame.io,frame.io,tier1-2-dns:dmarc_ruf,,contains-dmarc-or-mailgun
dmarc-reply@enercity.de,enercity.de,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
dmarc-report@abacum.ai,abacum.ai,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
dmarc-report@bitmovin.com,bitmovin.com,tier1-2-dns:dmarc_rua,,contains-dmarc-or-mailgun
